Grain Diameter,Misorientation Angle,KAM,phi1,Phi,phi2,Phase,CI,IQ
57.673,11.642,0.1896,162.25,89.29,26.2,Ferrite,0.987,200
176.335,45.045,0.3057,133.01,58.61,11.15,Ferrite,0.75,91
17.471,51.797,0.383,98.71,74.28,81.06,Ferrite,0.263,154
15.254,24.914,0.4928,262.54,69.47,76.87,Ferrite,0.926,143
29.027,58.118,0.1914,111.47,59.42,4.83,Ferrite,0.714,210
36.565,13.752,0.1734,194.45,43.13,74.13,Ferrite,0.565,108
20.9,13.252,0.3534,332.36,67.72,8.75,Ferrite,0.728,105
15.074,25.7,0.6259,194.14,37.02,5.7,Ferrite,0.903,185
15.181,17.375,0.2458,222.13,74.21,68.27,Ferrite,0.582,182
29.483,55.769,0.5653,26.37,57.4,48.27,Ferrite,0.625,178
30.738,29.373,0.9176,64.13,23.2,37.31,Ferrite,0.562,84
28.091,2.301,0.2095,36.34,50.91,81.35,Ferrite,0.258,116
16.306,14.73,0.5381,275.33,62.85,75.54,Ferrite,0.83,198
24.423,21.03,0.9074,300.93,52.16,5.19,Ferrite,0.301,164
23.186,51.699,0.4745,67.12,63.58,55.45,Ferrite,0.516,164
24.275,59.11,0.4279,78.94,44.8,69.5,Ferrite,0.509,121
32.563,49.234,0.949,116.35,39.33,49.54,Ferrite,0.424,116
24.329,35.737,0.5081,212.79,54.14,88.47,Ferrite,0.522,213
29.861,56.204,0.9313,223.85,55.38,61.74,Ferrite,0.694,182
22.679,9.553,0.7287,247.23,50.82,9.37,Ferrite,0.449,98
25.057,50.004,0.4971,325.87,69.73,17.85,Ferrite,0.338,211
29.228,53.564,0.7439,106.21,44.8,74.36,Ferrite,0.895,162
11.419,50.22,0.6961,237.15,58.76,89.71,Ferrite,0.977,127
19.052,28.529,0.9063,201.5,55.82,8.85,Ferrite,0.567,136
17.803,4.558,0.4355,110.1,36.32,9.03,Ferrite,0.462,182
16.503,26.202,0.6124,326.67,39.17,68.7,Austenite,0.238,133
19.438,7.123,0.5815,34.37,55.14,5.79,Ferrite,0.229,161
43.11,3.704,0.8112,256.32,78.77,6.17,Ferrite,0.514,179
14.901,42.384,0.2924,262.03,61.95,79.99,Ferrite,0.944,107
34.014,33.57,0.9051,329.52,34.29,72.04,Ferrite,0.785,212
10.317,6.413,0.7399,186.69,17.67,79.34,Austenite,0.479,130
18.922,57.918,0.2049,115.78,63.8,58.55,Ferrite,0.974,139
23.672,26.596,0.9625,297.99,53.85,29.03,Ferrite,0.543,178
28.641,3.286,1.2702,277.49,68.7,81.57,Ferrite,0.421,165
30.298,11.796,0.9006,180.11,44.43,26.89,Ferrite,0.541,142
31.439,39.585,1.0281,276.43,59.2,24.8,Ferrite,0.369,171
18.805,23.861,0.6256,96.44,65.15,79.78,Austenite,0.909,206
17.868,52.376,0.1015,212.22,49.63,61.27,Ferrite,0.489,192
32.367,4.415,0.0468,311.47,49.89,80.61,Ferrite,0.726,195
20.185,48.926,0.6765,114.47,55.3,14.03,Ferrite,0.511,116
112.524,58.139,0.4224,174.08,61.51,85.71,Ferrite,0.921,139
13.211,61.257,0.3256,342.38,54.83,55.15,Ferrite,0.714,158
14.546,2.587,0.5812,287.36,66.69,60.12,Ferrite,0.591,86
27.516,8.259,0.7847,319.33,49.46,82.27,Ferrite,0.306,188
23.456,37.275,0.1642,138.69,39.06,34.27,Ferrite,0.922,125
30.017,61.372,0.4653,358.74,78.72,64.76,Ferrite,0.637,120
18.152,8.442,1.053,54.92,47.74,57.63,Ferrite,0.428,116
23.627,3.439,0.2774,186.76,48.18,70.9,Ferrite,0.902,120
29.153,56.15,0.8609,172.54,54.21,80.72,Ferrite,0.244,127
19.141,28.35,0.4546,287.44,55.81,61.21,Ferrite,0.451,165
27.02,52.026,0.7637,327.1,50.36,6.09,Ferrite,0.629,162
16.333,32.991,0.9292,263.21,54.79,16.48,Ferrite,0.472,116
18.684,61.059,0.8224,225.65,54.52,85.86,Ferrite,0.581,109
18.528,56.526,0.8727,153.87,57.1,87.18,Ferrite,0.411,196
12.844,29.162,0.2545,183.72,26.71,87.07,Ferrite,0.304,93
27.39,14.389,0.9341,183.35,77.57,3.31,Ferrite,0.229,152
17.811,30.832,0.3442,7.33,53.23,34.42,Ferrite,0.326,153
22.124,43.499,0.6779,181.1,61.97,68.37,Ferrite,0.962,160
27.313,45.949,0.6775,308.15,38.46,67.76,Ferrite,0.66,204
26.896,53.991,0.7455,255.34,49.35,7.73,Ferrite,0.591,167
29.68,16.149,0.7011,286.46,46.93,54.85,Ferrite,0.507,216
21.046,25.347,0.3469,140.57,72.64,12.86,Ferrite,0.767,202
18.184,48.46,0.195,190.43,47.97,44.39,Ferrite,0.313,110
21.225,41.486,0.8617,12.05,64.1,21.57,Ferrite,0.421,114
10.296,4.149,0.6558,137.88,47.19,4.78,Ferrite,0.725,128
11.471,17.595,0.9448,170.79,49.57,7.2,Ferrite,0.583,135
12.132,4.084,0.5866,91.88,52.05,81.98,Ferrite,0.816,157
14.045,13.075,0.1785,11.25,70.41,67.02,Ferrite,0.918,113
26.336,9.595,0.8898,248.55,32.32,83.86,Ferrite,0.859,111
14.637,33.633,0.4889,156.63,39.21,42.3,Ferrite,0.347,133
18.557,59.422,0.7026,149.64,31.63,37.2,Ferrite,0.273,174
39.476,17.391,0.4058,90.0,41.95,32.26,Ferrite,0.336,176
18.741,50.236,1.0933,193.62,45.26,55.47,Ferrite,0.827,217
30.659,27.108,0.337,157.69,35.63,31.64,Ferrite,0.931,108
14.453,12.041,0.4988,170.63,46.19,67.16,Ferrite,0.94,135
20.057,50.065,0.6322,209.11,30.82,72.12,Ferrite,0.439,215
14.347,14.24,0.2723,2.28,42.78,78.83,Ferrite,0.872,177
18.887,25.148,0.6992,326.77,69.41,21.85,Ferrite,0.629,163
32.11,39.971,1.0836,25.59,59.84,47.43,Ferrite,0.858,156
10.112,51.626,0.4529,162.33,57.25,20.11,Ferrite,0.639,91
26.75,26.548,0.7185,74.65,42.97,3.38,Ferrite,0.317,205
24.484,25.845,0.2248,188.56,36.57,63.7,Ferrite,0.263,168
16.839,16.278,0.5883,100.88,41.33,49.41,Ferrite,0.966,160
11.477,60.05,0.5061,309.6,54.48,65.15,Austenite,0.541,156
22.726,48.371,0.3545,142.69,65.42,7.89,Austenite,0.48,135
17.336,44.871,0.9244,229.95,65.83,89.6,Ferrite,0.485,116
24.428,11.233,0.5021,89.6,62.57,89.49,Ferrite,0.503,186
22.217,39.986,0.5468,6.99,46.15,41.85,Ferrite,0.956,151
45.234,37.378,0.4868,145.5,55.29,77.95,Ferrite,0.25,85
19.754,36.128,0.025,193.14,51.14,21.92,Ferrite,0.295,136
13.88,45.101,0.2604,165.44,52.59,66.38,Ferrite,0.832,210
23.848,24.472,0.8883,346.33,79.45,79.13,Ferrite,0.64,132
24.289,56.739,0.033,254.46,33.86,73.32,Austenite,0.303,138
40.556,4.096,0.3701,358.44,52.18,73.06,Ferrite,0.228,167
32.035,31.429,0.4801,106.22,69.54,41.67,Ferrite,0.379,192
25.833,42.195,1.1231,284.06,37.41,73.8,Ferrite,0.409,174
42.501,21.628,0.8306,200.0,47.28,62.16,Ferrite,0.211,199
12.885,60.7,0.4328,220.23,48.65,11.92,Ferrite,0.373,96
16.497,57.436,0.9914,354.91,52.32,10.28,Ferrite,0.791,209
14.499,58.329,0.3778,235.44,35.85,69.47,Austenite,0.884,207
18.46,30.612,0.9027,323.57,62.14,56.29,Ferrite,0.919,153
162.639,22.949,0.1923,261.27,63.0,46.74,Ferrite,0.512,167
29.279,3.713,0.922,45.86,61.1,81.65,Ferrite,0.456,110
19.906,19.23,0.4782,251.79,44.56,59.36,Ferrite,1.0,143
11.35,20.645,0.2914,174.35,56.04,35.65,Ferrite,0.815,108
13.93,18.351,0.5349,330.77,44.21,37.25,Ferrite,0.63,83
25.333,61.522,0.6832,290.46,51.01,54.47,Ferrite,0.404,217
32.079,18.481,0.4516,37.49,80.84,68.42,Ferrite,0.457,116
54.032,21.229,0.7662,48.21,56.15,50.79,Ferrite,0.612,163
81.637,4.7,0.4251,25.06,40.75,45.79,Ferrite,0.634,122
26.51,42.271,0.7861,177.57,57.16,65.42,Ferrite,0.211,132
14.094,51.398,0.7327,29.08,38.78,63.47,Ferrite,0.968,136
8.429,3.546,0.5817,260.52,40.61,74.73,Ferrite,0.66,127
24.817,13.919,0.4676,198.85,42.51,5.63,Ferrite,0.671,169
15.26,45.008,0.6455,300.92,49.67,67.95,Ferrite,0.369,215
18.249,39.54,0.7651,100.73,66.24,46.24,Ferrite,0.812,140
16.703,48.499,1.2185,186.89,61.94,6.72,Ferrite,0.79,216
20.649,7.206,0.8818,42.29,61.28,61.11,Ferrite,0.276,173
35.543,31.265,0.8928,318.46,41.81,64.49,Ferrite,0.676,165
23.611,4.434,1.5266,63.0,48.5,47.13,Austenite,0.727,113
20.484,22.977,0.7548,36.85,58.26,71.44,Ferrite,0.868,89
13.805,12.638,0.7454,73.82,47.46,27.02,Ferrite,0.365,199
10.355,27.253,0.8112,290.24,51.66,18.17,Ferrite,0.902,160
17.676,22.216,0.2973,38.09,60.3,31.57,Ferrite,0.569,138
21.474,26.579,0.4668,221.19,50.81,36.9,Ferrite,0.277,194
48.745,54.577,0.4481,268.63,57.71,62.63,Ferrite,0.284,123
23.328,30.519,0.7943,270.39,74.11,76.1,Ferrite,0.358,190
34.236,47.244,0.5477,68.42,52.94,64.88,Ferrite,0.426,126
17.573,55.251,0.6415,22.18,69.15,15.66,Ferrite,0.597,209
12.908,18.654,0.9262,161.57,61.71,32.96,Ferrite,0.799,118
14.25,10.095,0.8589,72.89,37.39,14.26,Ferrite,0.349,99
15.874,11.761,0.5515,251.74,41.77,61.81,Ferrite,0.994,178
57.332,25.181,0.399,128.41,45.0,22.34,Ferrite,0.329,103
15.202,47.378,0.9406,161.77,44.74,47.28,Ferrite,0.68,213
32.084,57.76,0.8322,40.85,53.92,71.26,Ferrite,0.943,172
14.654,7.694,0.1181,204.32,62.38,60.38,Ferrite,0.866,112
33.457,41.735,0.5061,66.79,70.06,26.85,Ferrite,0.718,109
26.161,28.622,0.6497,244.43,58.7,29.96,Ferrite,0.772,209
20.503,14.914,0.8336,25.62,49.65,58.8,Ferrite,0.307,165
21.6,5.652,0.873,351.32,30.01,49.45,Ferrite,0.208,205
16.385,43.686,0.6852,246.43,55.85,8.68,Ferrite,0.547,95
26.891,44.307,0.7756,65.42,55.31,78.66,Ferrite,0.272,210
17.927,21.349,0.6192,5.07,57.2,46.14,Ferrite,0.486,153
12.674,3.98,0.3978,120.41,80.27,42.6,Ferrite,0.379,174
12.379,46.713,0.5216,55.01,69.89,17.86,Ferrite,0.933,132
23.777,47.082,0.6057,78.63,64.42,33.93,Ferrite,0.904,88
44.774,18.481,0.5896,314.19,43.46,29.95,Ferrite,0.855,214
23.642,36.001,0.0343,217.15,48.84,24.37,Ferrite,0.771,219
20.856,34.225,0.4808,63.52,53.86,51.07,Ferrite,0.323,131
25.02,19.075,0.6169,200.4,45.7,41.6,Ferrite,0.239,212
39.597,10.579,0.5156,92.08,61.01,80.03,Ferrite,0.723,103
24.283,9.796,0.526,351.43,59.28,84.72,Ferrite,0.714,102
18.286,49.917,0.7464,11.79,41.94,19.75,Ferrite,0.496,90
36.193,14.351,0.2763,263.63,69.36,9.01,Ferrite,0.578,135
26.682,53.998,0.1116,278.28,56.23,70.68,Ferrite,0.591,87
43.91,40.653,0.4955,24.18,34.25,89.54,Ferrite,0.392,135
23.891,50.74,0.8292,61.87,54.38,77.72,Austenite,0.451,99
12.68,12.998,1.1063,138.35,58.37,2.13,Ferrite,0.535,182
11.886,2.523,0.8346,312.54,66.67,22.61,Ferrite,0.683,197
46.245,7.845,0.1595,193.32,50.95,3.9,Ferrite,0.965,176
47.784,13.602,0.5303,235.91,64.94,73.87,Ferrite,0.631,108
20.293,11.745,0.677,281.88,57.25,52.33,Ferrite,0.785,187
18.515,39.847,0.6533,298.12,39.22,46.23,Austenite,0.846,115
42.466,8.908,0.7618,171.46,38.02,49.9,Ferrite,0.291,186
13.368,49.663,0.3249,183.17,68.47,22.72,Ferrite,0.722,159
14.708,18.377,0.6195,258.48,69.35,54.15,Ferrite,0.586,131
29.387,39.237,0.7261,94.8,58.87,2.76,Ferrite,0.658,92
18.421,37.635,0.8477,307.62,72.95,58.14,Ferrite,0.231,196
21.949,58.319,0.3583,7.48,67.68,66.1,Ferrite,0.925,212
20.44,38.195,0.4965,70.48,63.2,60.57,Ferrite,0.962,173
25.609,37.011,0.2111,288.07,44.06,29.89,Ferrite,0.203,215
41.447,60.223,0.4136,122.49,75.78,74.36,Ferrite,0.37,211
22.915,8.616,0.4427,53.94,61.44,64.4,Ferrite,0.344,107
29.395,23.502,0.2941,67.23,50.37,11.55,Ferrite,0.825,182
8.745,25.195,0.6497,191.07,46.98,17.56,Ferrite,0.678,129
21.523,19.474,0.5832,304.63,58.08,57.34,Ferrite,0.342,148
15.053,15.027,0.0778,25.43,34.95,26.05,Ferrite,0.851,102
12.712,35.301,0.6647,10.97,63.4,10.75,Ferrite,0.483,216
14.818,7.721,0.3215,167.46,43.56,13.95,Ferrite,0.569,182
18.929,49.473,0.7457,344.23,59.45,14.91,Ferrite,0.51,117
33.222,3.192,0.2154,100.44,48.74,43.0,Ferrite,0.617,132
12.112,10.677,0.609,345.3,51.83,54.66,Ferrite,0.584,139
22.305,22.251,0.5151,319.57,45.92,15.88,Ferrite,0.42,185
17.693,10.618,0.6909,101.93,53.07,64.12,Ferrite,0.54,210
18.984,22.866,0.6374,294.1,77.67,25.29,Ferrite,0.927,125
34.546,6.245,0.5235,246.91,71.62,28.04,Ferrite,0.602,146
28.028,4.572,0.1391,184.26,59.25,20.11,Ferrite,0.933,163
40.16,12.116,0.1568,152.25,54.7,70.67,Ferrite,0.64,135
20.522,34.376,0.4248,293.58,65.13,86.38,Ferrite,0.815,151
16.085,5.207,0.5975,285.51,68.56,44.32,Ferrite,0.435,95
19.892,10.682,0.4175,272.5,45.04,3.78,Ferrite,0.832,103
24.537,57.572,0.7876,359.37,54.07,23.45,Ferrite,0.411,136
23.819,5.577,0.5162,172.26,33.14,14.22,Ferrite,0.216,208
13.505,3.803,0.3105,290.49,68.48,75.85,Ferrite,0.329,129
22.914,54.937,0.5166,310.49,79.78,7.64,Ferrite,0.217,115
24.38,10.772,0.6678,76.18,55.96,86.98,Ferrite,0.958,184
173.103,25.525,0.6975,15.14,29.5,52.97,Ferrite,1.0,213
51.194,28.484,1.1635,145.71,62.31,46.6,Ferrite,0.81,144
14.985,26.77,0.3993,308.43,44.15,76.26,Ferrite,0.287,81
19.331,27.355,0.578,104.08,47.04,2.48,Ferrite,0.919,176
11.387,14.388,0.7278,252.0,62.52,69.94,Ferrite,0.795,138
16.865,61.696,0.593,2.65,58.05,10.49,Ferrite,0.466,174
25.357,61.543,0.4498,127.93,49.14,75.67,Ferrite,0.602,119
37.852,39.758,0.1352,221.59,47.2,47.63,Ferrite,0.729,80
15.847,45.034,0.4467,46.71,56.51,5.5,Ferrite,0.219,128
16.39,14.69,0.2779,322.78,50.09,74.99,Ferrite,0.601,179
8.371,7.196,0.082,56.26,41.69,2.46,Ferrite,0.786,135
20.447,24.581,0.3613,327.53,51.01,12.45,Austenite,0.351,111
13.639,39.841,0.2859,77.9,59.08,71.8,Ferrite,0.555,145
17.336,54.143,0.7751,357.94,52.86,41.84,Ferrite,0.626,185
14.827,29.25,0.7803,217.71,38.04,79.32,Ferrite,0.788,97
21.086,35.671,0.3288,30.36,66.87,57.19,Ferrite,0.972,177
9.975,61.324,0.5219,23.5,22.13,56.12,Ferrite,0.879,173
11.369,61.297,0.0425,26.97,49.64,26.3,Ferrite,0.697,132
57.352,57.587,0.4517,212.36,47.56,12.03,Ferrite,0.667,216
12.326,52.527,0.7197,291.45,56.78,86.51,Ferrite,0.683,205
13.43,27.649,0.8475,145.07,61.74,9.43,Ferrite,0.636,124
50.282,8.368,0.3861,160.14,68.52,47.61,Ferrite,0.247,84
81.314,10.219,0.9156,212.14,46.45,24.53,Ferrite,0.759,123
12.986,41.357,0.1453,191.89,62.04,23.77,Ferrite,0.773,109
18.64,5.175,0.2257,247.7,57.35,53.51,Ferrite,0.61,157
25.655,13.865,0.8129,169.84,34.46,71.81,Ferrite,0.896,209
47.892,34.191,1.1013,256.99,77.81,69.95,Ferrite,0.738,202
14.111,50.211,0.748,359.03,37.73,78.19,Ferrite,0.49,123
19.701,30.677,0.5879,126.11,60.03,26.36,Ferrite,0.216,140
31.213,11.685,0.0586,4.4,59.68,41.92,Ferrite,0.247,85
26.754,20.98,0.01,45.23,58.31,0.84,Ferrite,0.481,156
18.574,23.869,0.6388,199.27,49.07,67.22,Ferrite,0.57,89
20.714,54.974,0.4926,123.93,64.93,27.21,Ferrite,0.333,211
11.85,35.975,0.2682,338.39,36.28,50.53,Ferrite,0.351,201
19.764,5.123,0.6197,225.88,54.21,15.24,Ferrite,0.384,110
19.515,50.689,0.6345,187.33,48.23,73.75,Ferrite,0.824,178
24.423,5.761,0.8833,287.29,46.87,73.55,Ferrite,0.817,160
17.135,5.352,0.641,93.09,60.14,78.97,Ferrite,0.506,192
27.2,9.617,0.9685,295.11,67.93,4.13,Ferrite,0.338,147
34.701,23.319,0.6024,1.1,50.88,89.32,Ferrite,0.289,107
23.594,4.845,0.5654,223.08,64.37,22.3,Ferrite,0.27,170
25.773,27.926,0.9193,336.51,55.6,27.85,Ferrite,0.513,91
22.533,18.052,0.3065,283.63,44.29,22.44,Ferrite,0.236,162
22.001,4.18,1.4443,307.31,51.9,24.08,Ferrite,0.467,110
15.9,42.341,0.7126,142.9,51.41,49.74,Austenite,0.969,176
25.367,16.021,0.7142,296.73,46.64,21.58,Ferrite,0.606,196
21.058,54.893,0.7575,198.3,60.14,35.44,Ferrite,0.858,95
56.428,12.909,1.1631,222.67,57.82,59.0,Ferrite,0.303,136
44.659,3.798,0.8378,21.21,35.91,75.24,Ferrite,0.414,183
26.172,35.9,0.1185,72.56,35.18,62.35,Ferrite,0.957,103
15.606,3.504,1.021,198.35,60.1,53.49,Ferrite,0.507,159
13.336,18.374,0.4977,21.17,45.22,13.3,Ferrite,0.719,174
37.602,52.729,0.6321,266.92,58.62,73.45,Ferrite,0.981,130
24.761,56.973,0.2162,302.42,64.37,3.35,Ferrite,0.641,196
27.306,4.002,0.7579,331.33,39.75,23.78,Ferrite,0.444,151
10.034,23.394,0.4046,36.64,38.06,5.14,Ferrite,0.626,168
33.394,57.483,0.6301,338.3,75.09,60.07,Ferrite,0.244,100
26.992,40.826,0.5148,24.34,59.22,33.15,Ferrite,0.29,83
13.348,14.751,1.1775,170.66,49.97,58.68,Ferrite,0.206,87
17.794,24.531,1.1947,302.49,43.79,31.23,Ferrite,0.907,207
24.772,46.019,0.614,25.31,48.87,41.02,Ferrite,0.737,204
22.526,12.28,0.6192,6.56,40.71,41.22,Ferrite,0.439,193
19.29,43.173,0.488,8.98,65.6,4.1,Ferrite,0.377,108
20.999,59.798,0.9318,184.06,45.68,38.72,Ferrite,0.746,154
19.642,38.221,0.5013,292.17,68.12,57.7,Ferrite,0.936,191
23.563,3.454,0.4736,45.87,50.19,49.14,Ferrite,0.439,174
42.658,37.43,0.8936,44.86,42.48,6.78,Ferrite,0.457,96
6.931,31.904,0.4385,204.68,49.88,60.13,Ferrite,0.883,205
19.776,25.548,0.5887,84.35,23.51,27.8,Ferrite,0.915,102
23.819,9.178,0.1256,262.88,53.55,1.3,Ferrite,0.931,104
25.134,8.51,0.8113,341.87,52.96,14.0,Ferrite,0.435,206
18.61,48.436,1.1823,275.77,64.9,44.78,Ferrite,0.296,148
9.979,15.867,0.8164,315.78,32.36,27.94,Ferrite,0.552,132
25.499,14.897,1.0385,187.05,68.94,62.49,Ferrite,0.437,158
47.863,45.268,0.3462,299.63,64.85,21.66,Ferrite,0.907,217
11.032,43.689,0.6709,65.85,70.02,69.55,Ferrite,0.229,97
32.452,51.502,0.3171,24.61,54.37,25.78,Ferrite,0.707,186
18.977,53.094,0.5317,236.14,67.17,55.88,Ferrite,0.925,127
21.401,48.45,0.8317,18.7,37.35,71.93,Ferrite,0.981,96
13.698,19.831,0.6305,321.29,63.56,34.7,Ferrite,0.72,139
18.926,37.326,0.1762,248.96,45.75,4.21,Ferrite,0.96,157
39.491,43.36,0.2055,342.79,35.18,48.19,Ferrite,0.261,109
28.595,2.668,0.1857,113.0,41.51,89.59,Austenite,0.487,137
118.383,17.0,0.7474,175.02,55.07,87.21,Ferrite,0.207,169
37.37,25.509,1.2192,267.01,45.11,19.89,Ferrite,0.985,161
131.195,12.237,1.0087,87.4,59.51,68.01,Ferrite,0.922,181
48.222,34.455,0.0312,195.07,33.3,31.05,Ferrite,0.222,197
26.805,12.676,1.0263,237.41,29.47,14.42,Ferrite,0.215,137
31.933,53.748,0.8809,352.37,71.47,59.93,Ferrite,0.494,139
19.251,6.18,0.1364,268.09,65.85,45.08,Ferrite,0.407,150
22.669,24.463,0.509,42.53,42.41,48.53,Ferrite,0.878,159
113.345,58.69,0.9287,171.12,54.96,74.47,Ferrite,0.328,95
34.342,15.839,0.7651,211.96,67.23,30.29,Ferrite,0.833,124
134.113,58.473,0.2073,52.78,60.03,60.04,Ferrite,0.644,104
31.284,59.741,0.7832,155.51,56.78,32.96,Ferrite,0.502,134
20.191,13.428,0.0413,102.24,68.14,3.85,Ferrite,0.317,216
37.267,3.249,0.5332,42.78,46.23,34.02,Ferrite,0.998,162
30.844,60.599,0.9414,184.34,55.37,85.5,Ferrite,0.694,140
49.916,8.94,0.6055,59.63,54.79,43.49,Ferrite,0.552,159
30.566,2.878,0.4503,212.59,51.73,9.74,Ferrite,0.497,174
10.844,2.686,0.8668,61.09,50.32,61.9,Ferrite,0.925,141
21.347,18.673,0.8924,260.49,55.87,86.7,Ferrite,0.857,143
12.983,54.94,0.993,70.29,55.41,81.72,Ferrite,0.849,178
17.423,43.85,0.8623,322.66,42.42,51.48,Ferrite,0.693,89
43.428,43.893,0.9244,9.44,64.62,33.87,Ferrite,0.91,156
29.31,10.479,0.8199,187.92,43.28,52.26,Ferrite,0.439,157
16.063,41.877,0.6797,115.24,52.38,73.43,Ferrite,0.763,186
13.941,22.218,0.6269,81.03,51.46,77.51,Ferrite,0.524,218
22.327,49.769,0.5288,169.78,59.3,73.7,Ferrite,0.68,191
12.725,13.19,0.2363,303.13,29.57,40.99,Ferrite,0.999,151
16.265,49.3,0.3134,329.5,65.69,10.7,Ferrite,0.988,104
25.316,54.902,0.5154,109.17,46.88,51.23,Ferrite,0.61,162
37.001,12.65,0.6724,55.53,69.64,14.08,Ferrite,0.659,197
28.933,3.206,1.0322,259.25,49.26,5.49,Ferrite,0.918,211
7.846,29.674,0.5875,209.52,54.41,44.88,Ferrite,0.989,196
25.229,11.591,0.901,72.37,77.97,58.98,Ferrite,0.823,106
22.725,5.347,0.9238,273.71,51.67,76.87,Austenite,0.252,180
26.504,32.342,0.5306,186.81,69.87,70.46,Ferrite,0.458,203
45.528,8.554,0.7784,235.22,55.47,77.15,Ferrite,0.917,175
8.694,25.32,0.5269,129.36,59.99,68.41,Ferrite,0.815,176
16.862,36.804,0.9966,158.08,55.84,63.29,Ferrite,0.794,150
28.702,59.301,0.7908,64.92,65.17,0.91,Ferrite,0.734,169
10.798,49.505,0.2429,272.35,46.77,56.35,Ferrite,0.532,121
42.744,25.116,0.6485,56.52,43.19,10.84,Ferrite,0.523,92
25.966,55.399,1.0944,280.19,47.34,5.28,Ferrite,0.847,196
32.201,32.775,0.5456,287.28,56.2,14.08,Ferrite,0.435,212
17.015,55.031,0.7343,268.78,52.35,74.1,Ferrite,0.748,200
31.729,26.36,0.7638,6.99,63.52,66.95,Ferrite,0.781,127
35.583,44.077,0.289,98.33,70.66,85.39,Austenite,0.876,93
24.431,58.554,0.7532,168.6,43.29,88.11,Ferrite,0.456,119
24.447,27.121,0.1818,214.4,46.19,80.4,Ferrite,0.794,198
24.846,47.568,0.4123,330.92,37.77,11.96,Ferrite,0.285,172
14.918,3.784,0.9227,135.22,79.36,79.05,Ferrite,0.31,215
20.587,22.078,0.707,315.01,58.66,75.48,Ferrite,0.534,128
20.541,7.833,0.5087,58.83,60.76,78.4,Ferrite,0.244,157
26.143,46.687,0.7339,133.66,38.92,13.65,Ferrite,0.958,191
34.5,13.376,0.582,18.82,54.99,10.51,Ferrite,0.922,113
13.663,14.683,0.6038,267.3,61.11,83.14,Ferrite,0.239,215
20.797,13.347,0.797,54.23,51.97,15.64,Ferrite,0.871,163
42.85,50.427,0.3818,92.53,67.91,33.18,Ferrite,0.607,81
15.744,28.401,0.6121,279.08,82.74,41.04,Ferrite,0.762,84
15.196,30.747,0.5063,192.5,43.64,11.2,Ferrite,0.91,204
24.097,54.748,0.1243,5.03,42.73,1.86,Austenite,0.662,170
137.552,11.551,0.3239,0.8,44.47,89.47,Ferrite,0.293,187
22.113,9.363,1.0705,183.84,74.27,78.9,Ferrite,0.202,190
40.008,35.98,0.7154,109.78,67.51,82.11,Ferrite,0.598,139
32.35,59.79,0.2029,64.91,53.37,25.61,Ferrite,0.959,192
32.132,45.587,0.1379,220.89,55.44,19.81,Austenite,0.658,211
28.23,20.447,0.5664,82.24,45.2,38.33,Ferrite,0.498,104
62.708,56.599,1.0684,213.19,65.68,40.8,Ferrite,0.225,187
20.06,37.995,0.544,136.54,50.44,0.5,Austenite,0.932,123
